,,Per thymus,Per lobe,BLD%,END%,MES%,PTH%,TEC%
E12.5 ,,8000,4000,25.9,0.7,21.9,3.2,48.2
E13.5,,35000,17500,49.7,0.5,8.7,0.1,41.1
,,,,,,,,
E14.5 (2016-11-09),,Per thymus,Per lobe,,,,,
Rep 1,,66333,33166,,,,,
Rep 2,,107000,53500,78.3,0.6,4.2,0,16.8
,,,,,,,,
E15.5 (2016-12-14),,Per thymus,Per lobe,,,,,
Rep 1,,146500,73250,,,,,
Rep 2,,275833,137917,70.6,0.3,4.7,0.1,24.3
,,,,,,,,
E16.5 (2016-12-16),,Per thymus,Per lobe,,,,,
Rep 1,,433333,216667,,,,,
Rep 2,,358750,179375,,,,,
Average,,396041.5,198021,93.7,0.2,0.6,0,5.5